date,LOCATION_POSTAL_CODE,ORGANIZATION_ID,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS,SERVICE_USER_COUNT,CAPACITY_ACTUAL_BED,CAPACITY_ACTUAL_ROOM,postal_code,operator_registration_number,calculated_host_listings_count,price,minimum_nights,reviews_per_month,availability_365
2021-01-03,M5A 2G6,1,,100.0,26.0,,21.0,M5A,,,,,,
2021-01-03,M5A 2N2,6,90.87,,34.666666666666664,37.166666666666664,,M5A,,,,,,
2021-01-03,M5A 2N3,1,95.83,,46.0,48.0,,M5A,,,,,,
2021-01-03,M5A 2N9,1,100.0,,27.0,27.0,,M5A,,,,,,
2021-01-03,M5A 2R5,3,96.29666666666667,,77.0,78.66666666666667,,M5A,,,,,,
2021-01-03,M5A 2R9,1,,91.43,86.0,,35.0,M5A,,,,,,
2021-01-03,M5A 2V2,2,67.16,74.07,52.5,67.0,27.0,M5A,,,,,,
2021-01-03,M5A 3G1,1,,100.0,7.0,,7.0,M5A,,,,,,
2021-01-03,M5A 3S7,1,,100.0,5.0,,5.0,M5A,,,,,,
2021-01-03,M5A 4H5,1,100.0,,5.0,5.0,,M5A,,,,,,
2021-01-03,M5B 1G3,1,,100.0,47.0,,33.0,M5B,,,,,,
2021-01-03,M5B 1G6,1,100.0,,12.0,12.0,,M5B,,,,,,
2021-01-03,M5B 1H3,1,100.0,,28.0,28.0,,M5B,,,,,,
2021-01-03,M5B 2C2,1,,100.0,45.0,,45.0,M5B,,,,,,
2021-01-03,M5B 2G8,1,,99.52,222.0,,210.0,M5B,,,,,,
2021-01-03,M5B 2P3,1,94.34,,50.0,53.0,,M5B,,,,,,
2021-01-03,M5C 2H4,1,100.0,,52.0,52.0,,M5C,,,,,,
2021-01-03,M5E 1A9,1,100.0,,28.0,28.0,,M5E,,,,,,
2021-01-03,M5E 1G5,1,,100.0,52.0,,48.0,M5E,,,,,,
2021-01-03,M5H 1H9,2,98.91499999999999,,25.0,25.5,,M5H,,,,,,
2021-01-03,M5J 1S8,2,,98.89,97.0,,93.0,M5J,,,,,,
2021-01-03,M5R 2T9,2,100.0,100.0,7.0,6.0,3.0,M5R,,,,,,
2021-01-03,M5R 2W7,1,84.0,,21.0,25.0,,M5R,,,,,,
2021-01-03,M5S 2H1,1,95.0,,38.0,40.0,,M5S,,,,,,
2021-01-03,M5S 2P1,1,75.0,,6.0,8.0,,M5S,,,,,,
2021-01-03,M5S 2P9,1,66.67,,6.0,9.0,,M5S,,,,,,
2021-01-03,M5T 2K7,1,100.0,,19.0,19.0,,M5T,,,,,,
2021-01-03,M5T 2M8,1,100.0,,5.0,5.0,,M5T,,,,,,
2021-01-03,M5T 2V4,1,,96.97,74.0,,66.0,M5T,,,,,,
2021-01-03,M5T 2V5,1,,82.54,168.0,,63.0,M5T,,,,,,
2021-01-03,M5T 2V9,1,100.0,,17.0,17.0,,M5T,,,,,,
2021-01-03,M5T 3B3,3,,98.48333333333333,26.333333333333332,,26.666666666666668,M5T,,,,,,
2021-01-03,M5V 1A3,4,92.34,,37.5,42.5,,M5V,,,,,,
2021-01-03,M5V 1G8,2,97.59,,41.0,43.0,,M5V,,,,,,
2021-01-03,M5V 2H3,1,91.67,,11.0,12.0,,M5V,,,,,,
2021-01-03,M5V 3G9,1,86.0,,43.0,50.0,,M5V,,,,,,
2021-01-03,M5V 3W3,2,96.265,,26.5,27.5,,M5V,,,,,,
2021-01-03,M6A 2W9,1,100.0,,42.0,42.0,,M6A,,,,,,
