_id,operator_registration_number,postal_code,ward_number,ward_name
108698,STR-2203-HSGPHL,M3H,6.0,York Centre
108699,STR-2203-HZMPHM,M4K,14.0,Toronto-Danforth
108700,STR-2203-FFXBHB,M4P,12.0,Toronto-St. Paul's
108701,STR-2203-FWKBHD,M6K,4.0,Parkdale-High Park
108702,STR-2203-GVDBHH,M6N,5.0,York South-Weston
108703,STR-2203-HSXBHL,M5V,10.0,Spadina-Fort York
108704,STR-2203-JBDBHM,M4E,19.0,Beaches-East York
108705,STR-2203-FGMPHB,M6N,5.0,York South-Weston
108706,STR-2203-FPTPHC,M4A,16.0,Don Valley East
108707,STR-2203-GMMPHG,M5V,10.0,Spadina-Fort York
108708,STR-2203-GVTPHH,M1E,25.0,Scarborough-Rouge Park
108709,STR-2203-HLGPHK,M5V,10.0,Spadina-Fort York
108710,STR-2203-HTMPHL,M5B,13.0,Toronto Centre
108711,STR-2203-JBTPHM,M3H,6.0,York Centre
108712,STR-2203-FHDBHB,M5A,13.0,Toronto Centre
108713,STR-2203-FQKBHC,M2K,17.0,Don Valley North
108714,STR-2203-GFXBHF,M2R,6.0,York Centre
108715,STR-2203-GPDBHG,M8V,3.0,Etobicoke-Lakeshore
108716,STR-2203-GWKBHH,M4J,14.0,Toronto-Danforth
108717,STR-2203-FHTPHB,M9P,2.0,Etobicoke Centre
108718,STR-2203-GPTPHG,M5V,10.0,Spadina-Fort York
108719,STR-2203-JCZPHM,M5J,10.0,Spadina-Fort York
108720,STR-2203-FJKBHB,M8W,3.0,Etobicoke-Lakeshore
108721,STR-2203-FRRBHC,M9V,1.0,Etobicoke North
108722,STR-2203-HPDBHK,M5B,13.0,Toronto Centre
108723,STR-2203-JDRBHM,M6P,9.0,Davenport
108724,STR-2203-FJZPHB,M2J,17.0,Don Valley North
108725,STR-2203-FSGPHC,M2N,18.0,Willowdale
108726,STR-2203-FZMPHD,M4G,15.0,Don Valley West
108727,STR-2203-GHTPHF,M4C,19.0,Beaches-East York
108728,STR-2203-GQZPHG,M4L,14.0,Toronto-Danforth
108729,STR-2203-HPTPHK,M4L,14.0,Toronto-Danforth
108730,STR-2203-HWZPHL,M4E,19.0,Beaches-East York
108731,STR-2203-FKRBHB,M4E,19.0,Beaches-East York
